echo "Agrego un producto Base Correcto"
prod add 1 "Libro POO" BOOK 25
prod add 2 "Camiseta talla:M UPM" CLOTHES 15
echo "Creo un carrito demasiado grande y lo descarto"
ticket add 1 99
ticket add 2 2
ticket new
echo "Creo un productos de mas"
prod add 3 "Generic Merch UPM" MERCH 3
prod add 4 "Generic Merch UPM" MERCH 4
prod add 5 "Generic Merch UPM" MERCH 5
prod add 6 "Generic Merch UPM" MERCH 6
prod add 7 "Generic Merch UPM" MERCH 7
prod add 8 "Generic Merch UPM" MERCH 8
prod add 9 "Generic Merch UPM" MERCH 9
prod add 10 "Generic Merch UPM" MERCH 10
prod add 11 "Generic Merch UPM" MERCH 11
prod add 12 "Generic Merch UPM" MERCH 12
prod add 13 "Generic Merch UPM" MERCH 13
prod add 14 "Generic Merch UPM" MERCH 14
prod add 15 "Generic Merch UPM" MERCH 15
prod add 16 "Generic Merch UPM" MERCH 16
prod add 17 "Generic Merch UPM" MERCH 17
prod add 18 "Generic Merch UPM" MERCH 18
prod add 19 "Generic Merch UPM" MERCH 19
prod add 20 "Generic Merch UPM" MERCH 20
prod add 21 "Generic Merch UPM" MERCH 21
prod add 22 "Generic Merch UPM" MERCH 22
prod add 23 "Generic Merch UPM" MERCH 23
prod add 24 "Generic Merch UPM" MERCH 24
prod add 25 "Generic Merch UPM" MERCH 25
prod add 26 "Generic Merch UPM" MERCH 26
prod add 27 "Generic Merch UPM" MERCH 27
prod add 28 "Generic Merch UPM" MERCH 28
prod add 29 "Generic Merch UPM" MERCH 29
prod add 30 "Generic Merch UPM" MERCH 30
prod add 31 "Generic Merch UPM" MERCH 31
prod add 32 "Generic Merch UPM" MERCH 32
prod add 33 "Generic Merch UPM" MERCH 33
prod add 34 "Generic Merch UPM" MERCH 34
prod add 35 "Generic Merch UPM" MERCH 35
prod add 36 "Generic Merch UPM" MERCH 36
prod add 37 "Generic Merch UPM" MERCH 37
prod add 38 "Generic Merch UPM" MERCH 38
prod add 39 "Generic Merch UPM" MERCH 39
prod add 40 "Generic Merch UPM" MERCH 40
prod add 41 "Generic Merch UPM" MERCH 41
prod add 42 "Generic Merch UPM" MERCH 42
prod add 43 "Generic Merch UPM" MERCH 43
prod add 44 "Generic Merch UPM" MERCH 44
prod add 45 "Generic Merch UPM" MERCH 45
prod add 46 "Generic Merch UPM" MERCH 46
prod add 47 "Generic Merch UPM" MERCH 47
prod add 48 "Generic Merch UPM" MERCH 48
prod add 49 "Generic Merch UPM" MERCH 49
prod add 50 "Generic Merch UPM" MERCH 50
prod add 51 "Generic Merch UPM" MERCH 51
prod add 52 "Generic Merch UPM" MERCH 52
prod add 53 "Generic Merch UPM" MERCH 53
prod add 54 "Generic Merch UPM" MERCH 54
prod add 55 "Generic Merch UPM" MERCH 55
prod add 56 "Generic Merch UPM" MERCH 56
prod add 57 "Generic Merch UPM" MERCH 57
prod add 58 "Generic Merch UPM" MERCH 58
prod add 59 "Generic Merch UPM" MERCH 59
prod add 60 "Generic Merch UPM" MERCH 60
prod add 61 "Generic Merch UPM" MERCH 61
prod add 62 "Generic Merch UPM" MERCH 62
prod add 63 "Generic Merch UPM" MERCH 63
prod add 64 "Generic Merch UPM" MERCH 64
prod add 65 "Generic Merch UPM" MERCH 65
prod add 66 "Generic Merch UPM" MERCH 66
prod add 67 "Generic Merch UPM" MERCH 67
prod add 68 "Generic Merch UPM" MERCH 68
prod add 69 "Generic Merch UPM" MERCH 69
prod add 70 "Generic Merch UPM" MERCH 70
prod add 71 "Generic Merch UPM" MERCH 71
prod add 72 "Generic Merch UPM" MERCH 72
prod add 73 "Generic Merch UPM" MERCH 73
prod add 74 "Generic Merch UPM" MERCH 74
prod add 75 "Generic Merch UPM" MERCH 75
prod add 76 "Generic Merch UPM" MERCH 76
prod add 77 "Generic Merch UPM" MERCH 77
prod add 78 "Generic Merch UPM" MERCH 78
prod add 79 "Generic Merch UPM" MERCH 79
prod add 80 "Generic Merch UPM" MERCH 80
prod add 81 "Generic Merch UPM" MERCH 81
prod add 82 "Generic Merch UPM" MERCH 82
prod add 83 "Generic Merch UPM" MERCH 83
prod add 84 "Generic Merch UPM" MERCH 84
prod add 85 "Generic Merch UPM" MERCH 85
prod add 86 "Generic Merch UPM" MERCH 86
prod add 87 "Generic Merch UPM" MERCH 87
prod add 88 "Generic Merch UPM" MERCH 88
prod add 89 "Generic Merch UPM" MERCH 89
prod add 90 "Generic Merch UPM" MERCH 90
prod add 91 "Generic Merch UPM" MERCH 91
prod add 92 "Generic Merch UPM" MERCH 92
prod add 93 "Generic Merch UPM" MERCH 93
prod add 94 "Generic Merch UPM" MERCH 94
prod add 95 "Generic Merch UPM" MERCH 95
prod add 96 "Generic Merch UPM" MERCH 96
prod add 97 "Generic Merch UPM" MERCH 97
prod add 98 "Generic Merch UPM" MERCH 98
prod add 99 "Generic Merch UPM" MERCH 99
prod add 100 "Generic Merch UPM" MERCH 100
prod add 101 "Generic Merch UPM" MERCH 101
prod add 102 "Generic Merch UPM" MERCH 102
prod add 103 "Generic Merch UPM" MERCH 103
prod add 104 "Generic Merch UPM" MERCH 104
prod add 105 "Generic Merch UPM" MERCH 105
prod add 106 "Generic Merch UPM" MERCH 106
prod add 107 "Generic Merch UPM" MERCH 107
prod add 108 "Generic Merch UPM" MERCH 108
prod add 109 "Generic Merch UPM" MERCH 109
prod add 110 "Generic Merch UPM" MERCH 110
prod add 111 "Generic Merch UPM" MERCH 111
prod add 112 "Generic Merch UPM" MERCH 112
prod add 113 "Generic Merch UPM" MERCH 113
prod add 114 "Generic Merch UPM" MERCH 114
prod add 115 "Generic Merch UPM" MERCH 115
prod add 116 "Generic Merch UPM" MERCH 116
prod add 117 "Generic Merch UPM" MERCH 117
prod add 118 "Generic Merch UPM" MERCH 118
prod add 119 "Generic Merch UPM" MERCH 119
prod add 120 "Generic Merch UPM" MERCH 120
prod add 121 "Generic Merch UPM" MERCH 121
prod add 122 "Generic Merch UPM" MERCH 122
prod add 123 "Generic Merch UPM" MERCH 123
prod add 124 "Generic Merch UPM" MERCH 124
prod add 125 "Generic Merch UPM" MERCH 125
prod add 126 "Generic Merch UPM" MERCH 126
prod add 127 "Generic Merch UPM" MERCH 127
prod add 128 "Generic Merch UPM" MERCH 128
prod add 129 "Generic Merch UPM" MERCH 129
prod add 130 "Generic Merch UPM" MERCH 130
prod add 131 "Generic Merch UPM" MERCH 131
prod add 132 "Generic Merch UPM" MERCH 132
prod add 133 "Generic Merch UPM" MERCH 133
prod add 134 "Generic Merch UPM" MERCH 134
prod add 135 "Generic Merch UPM" MERCH 135
prod add 136 "Generic Merch UPM" MERCH 136
prod add 137 "Generic Merch UPM" MERCH 137
prod add 138 "Generic Merch UPM" MERCH 138
prod add 139 "Generic Merch UPM" MERCH 139
prod add 140 "Generic Merch UPM" MERCH 140
prod add 141 "Generic Merch UPM" MERCH 141
prod add 142 "Generic Merch UPM" MERCH 142
prod add 143 "Generic Merch UPM" MERCH 143
prod add 144 "Generic Merch UPM" MERCH 144
prod add 145 "Generic Merch UPM" MERCH 145
prod add 146 "Generic Merch UPM" MERCH 146
prod add 147 "Generic Merch UPM" MERCH 147
prod add 148 "Generic Merch UPM" MERCH 148
prod add 149 "Generic Merch UPM" MERCH 149
prod add 150 "Generic Merch UPM" MERCH 150
prod add 151 "Generic Merch UPM" MERCH 151
prod add 152 "Generic Merch UPM" MERCH 152
prod add 153 "Generic Merch UPM" MERCH 153
prod add 154 "Generic Merch UPM" MERCH 154
prod add 155 "Generic Merch UPM" MERCH 155
prod add 156 "Generic Merch UPM" MERCH 156
prod add 157 "Generic Merch UPM" MERCH 157
prod add 158 "Generic Merch UPM" MERCH 158
prod add 159 "Generic Merch UPM" MERCH 159
prod add 160 "Generic Merch UPM" MERCH 160
prod add 161 "Generic Merch UPM" MERCH 161
prod add 162 "Generic Merch UPM" MERCH 162
prod add 163 "Generic Merch UPM" MERCH 163
prod add 164 "Generic Merch UPM" MERCH 164
prod add 165 "Generic Merch UPM" MERCH 165
prod add 166 "Generic Merch UPM" MERCH 166
prod add 167 "Generic Merch UPM" MERCH 167
prod add 168 "Generic Merch UPM" MERCH 168
prod add 169 "Generic Merch UPM" MERCH 169
prod add 170 "Generic Merch UPM" MERCH 170
prod add 171 "Generic Merch UPM" MERCH 171
prod add 172 "Generic Merch UPM" MERCH 172
prod add 173 "Generic Merch UPM" MERCH 173
prod add 174 "Generic Merch UPM" MERCH 174
prod add 175 "Generic Merch UPM" MERCH 175
prod add 176 "Generic Merch UPM" MERCH 176
prod add 177 "Generic Merch UPM" MERCH 177
prod add 178 "Generic Merch UPM" MERCH 178
prod add 179 "Generic Merch UPM" MERCH 179
prod add 180 "Generic Merch UPM" MERCH 180
prod add 181 "Generic Merch UPM" MERCH 181
prod add 182 "Generic Merch UPM" MERCH 182
prod add 183 "Generic Merch UPM" MERCH 183
prod add 184 "Generic Merch UPM" MERCH 184
prod add 185 "Generic Merch UPM" MERCH 185
prod add 186 "Generic Merch UPM" MERCH 186
prod add 187 "Generic Merch UPM" MERCH 187
prod add 188 "Generic Merch UPM" MERCH 188
prod add 189 "Generic Merch UPM" MERCH 189
prod add 190 "Generic Merch UPM" MERCH 190
prod add 191 "Generic Merch UPM" MERCH 191
prod add 192 "Generic Merch UPM" MERCH 192
prod add 193 "Generic Merch UPM" MERCH 193
prod add 194 "Generic Merch UPM" MERCH 194
prod add 195 "Generic Merch UPM" MERCH 195
prod add 196 "Generic Merch UPM" MERCH 196
prod add 197 "Generic Merch UPM" MERCH 197
prod add 198 "Generic Merch UPM" MERCH 198
prod add 199 "Generic Merch UPM" MERCH 199
prod add 200 "Generic Merch UPM" MERCH 200
prod add 201 "Generic Merch UPM" MERCH 201
exit
